outcome,n,patients,rmse,r2_predictive,spearman_rho,spearman_p
Inflamm,136,20,0.20356179769399002,0.792914758990464,0.740575354229283,6.770008610547794e-25
Hypoxia,136,20,0.19476639946322225,0.8109006779513602,0.7993368636992509,1.9540065915889814e-31
