outcome,compartment,n_obs,n_patients,spearman_rho,p
Inflamm,blood,80,20,0.1746601031411158,0.12124771449150111
Inflamm,hematoma,56,19,0.41599453178400553,0.0014292772849335519
Hypoxia,blood,80,20,0.21683075480543837,0.053369215179920305
Hypoxia,hematoma,56,19,0.8533151059466849,6.711328055125469e-17
