removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
gly,B3GAT3,Inflamm,0.37670820909127123,0.11492360507870704,0.151462082163501,0.6019543360190415,0.0010458203855480647,136,20
gly,B3GAT3,Hypoxia,0.6422434225287048,0.1003868884156395,0.44548873671401024,0.8389981083433994,1.5775305085402303e-10,136,20
gly,B4GALT1,Inflamm,0.33651711717858934,0.11994906027210346,0.10142127906584233,0.5716129552913364,0.005023854422782973,136,20
gly,B4GALT1,Hypoxia,0.6132551827764352,0.10587121967980752,0.4057514052046843,0.8207589603481862,6.936137573752707e-09,136,20
gly,B4GALT4,Inflamm,0.36812431570721627,0.11500534601862436,0.14271797948114562,0.5935306519332869,0.0013698375863094982,136,20
gly,B4GALT4,Hypoxia,0.6466909200499221,0.09999746694746987,0.4506994862876467,0.8426823538121975,9.991937735002505e-11,136,20
gly,B4GALT7,Inflamm,0.37101417513608936,0.1202076835806382,0.1354114446530517,0.6066169056191271,0.0020256671410780274,136,20
gly,B4GALT7,Hypoxia,0.644450327296622,0.09924728468599821,0.44992922374867184,0.8389714308445722,8.393165962571073e-11,136,20
gly,BIK,Inflamm,0.35146387199134,0.11722799204586655,0.12170122960149363,0.5812265143811863,0.0027164852524799938,136,20
gly,BIK,Hypoxia,0.6263692853394394,0.1007145519498075,0.4289723907987284,0.8237661798801503,4.99527107423266e-10,136,20
gly,BPNT1,Inflamm,0.38123377011165704,0.11470568899615323,0.15641475085734433,0.6060527893659697,0.0008886927235529838,136,20
gly,BPNT1,Hypoxia,0.6587393221986425,0.0994140588512619,0.4638913472932238,0.8535872971040612,3.443941997267866e-11,136,20
gly,CAPN5,Inflamm,0.378250947811235,0.11574641985457702,0.15139213355681222,0.6051097620656578,0.0010833798375300603,136,20
gly,CAPN5,Hypoxia,0.6508124224576104,0.10034413701984399,0.45414152783896383,0.847483317076257,8.825974320631716e-11,136,20
gly,CD44,Inflamm,0.34546692766834597,0.12216313859369167,0.10603157578633518,0.5849022795503568,0.0046852297946367374,136,20
gly,CD44,Hypoxia,0.6295559578780464,0.1064238204444824,0.42096910270970345,0.8381428130463894,3.30758456559546e-09,136,20
gly,CHPF2,Inflamm,0.36875289571389724,0.11832385091093309,0.13684240941638154,0.6006633820114129,0.0018302944164628723,136,20
gly,CHPF2,Hypoxia,0.6434055080279395,0.10152641894365518,0.44441738341905024,0.8423936326368288,2.3379455984274906e-10,136,20
gly,CHST12,Inflamm,0.3814279336561841,0.11717392585420389,0.15177125905477779,0.6110846082575905,0.0011330106332919983,136,20
gly,CHST12,Hypoxia,0.6550014959131889,0.10275974260162904,0.4535961013533897,0.8564068904729881,1.8403323054979084e-10,136,20
gly,CHST6,Inflamm,0.3732749417563408,0.11474074173702373,0.1483872203923625,0.5981626631203191,0.001141118866177076,136,20
gly,CHST6,Hypoxia,0.6401011417995839,0.09846031023367799,0.44712247983493447,0.8330798037642333,7.973039492653127e-11,136,20
gly,CLN6,Inflamm,0.3625061047949718,0.11500629698447674,0.13709790471007996,0.5879143048798636,0.0016212606364617386,136,20
gly,CLN6,Hypoxia,0.6314955295422183,0.1041393120644805,0.427386228521059,0.8356048305633776,1.328188720794781e-09,136,20
gly,COG2,Inflamm,0.37448715135145605,0.11782524141101773,0.14355392171612397,0.6054203809867882,0.0014812756354902442,136,20
gly,COG2,Hypoxia,0.6562145863531916,0.10272858335828909,0.45487026278812426,0.857558909918259,1.6823632180045957e-10,136,20
gly,COPB2,Inflamm,0.38797924359115477,0.11543400930187295,0.1617327427684222,0.6142257444138873,0.0007764733638203002,136,20
gly,COPB2,Hypoxia,0.6764000168003923,0.09489960132017314,0.4904002160656432,0.8623998175351414,1.0218396210426948e-12,136,20
gly,CTH,Inflamm,0.3391068475814829,0.11798404550505404,0.10786236764124216,0.5703513275217237,0.00405083858068687,136,20
gly,CTH,Hypoxia,0.6154972807117891,0.1027331385257876,0.4141440291824811,0.816850532241097,2.082670982925445e-09,136,20
gly,DSC2,Inflamm,0.35518629936239643,0.11729212108612591,0.12529796636327858,0.5850746323615142,0.002459992570088667,136,20
gly,DSC2,Hypoxia,0.6308117459020685,0.10321499490679917,0.428514073220257,0.8331094185838799,9.861929810026158e-10,136,20
gly,ECD,Inflamm,0.3548888246543582,0.11645240668242678,0.12664630164379023,0.5831313476649262,0.0023075276599587315,136,20
gly,ECD,Hypoxia,0.6424208114462988,0.10238896559816693,0.441742126459581,0.8430994964330166,3.5117274220806713e-10,136,20
gly,EGLN3,Inflamm,0.4052719881556517,0.11241809517843024,0.1849365703953325,0.6256074059159709,0.00031210209212434106,136,20
gly,EGLN3,Hypoxia,0.6532455580483751,0.0962177003919395,0.46466233060490825,0.841828785491842,1.1272174093682644e-11,136,20
gly,EXT2,Inflamm,0.3615952616482392,0.11913945387901448,0.12808622290759997,0.5951043003888784,0.0024048870437344736,136,20
gly,EXT2,Hypoxia,0.6467336126752805,0.10291834822738526,0.4450173568012537,0.8484498685493074,3.300798289765855e-10,136,20
gly,FKBP4,Inflamm,0.3805859532020661,0.11618815846902901,0.1528613471727368,0.6083105592313954,0.001054377107117826,136,20
gly,FKBP4,Hypoxia,0.6566697235106886,0.09972942457082533,0.461203643152967,0.8521358038684103,4.563778445431037e-11,136,20
gly,FUT8,Inflamm,0.3785307208980807,0.1152719952127423,0.15260176185503227,0.6044596799411291,0.0010241586371465955,136,20
gly,FUT8,Hypoxia,0.6531751822166023,0.10112487532012879,0.4549740686480465,0.851376295785158,1.0533093830067149e-10,136,20
gly,G6PD,Inflamm,0.3646786645035296,0.11995492296240322,0.12957133572894255,0.5997859932781167,0.0023647536798907737,136,20
gly,G6PD,Hypoxia,0.6405861786507636,0.10142940391244411,0.4417882000090071,0.8393841572925201,2.6913871589157463e-10,136,20
gly,GALE,Inflamm,0.3714118390851,0.11875772124524592,0.1386509825583708,0.6041726956118292,0.0017631463817802844,136,20
gly,GALE,Hypoxia,0.6387693394130369,0.10583769983068905,0.4313312595383254,0.8462074192877485,1.5860201215470047e-09,136,20
gly,GALK2,Inflamm,0.38086326751772703,0.11268973296627002,0.15999544947640176,0.6017310855590523,0.0007255145687705981,136,20
gly,GALK2,Hypoxia,0.6654720549433959,0.09405326867974087,0.4811310357028347,0.8498130741839571,1.4893195846615563e-12,136,20
gly,GCLC,Inflamm,0.37761086948498923,0.11613553103709197,0.14998941132685534,0.6052323276431231,0.0011481102365598404,136,20
gly,GCLC,Hypoxia,0.6548601614095676,0.09978098423286597,0.4592930259711913,0.8504272968479438,5.274449336995969e-11,136,20
gly,GFPT1,Inflamm,0.3670065869207044,0.1167377196689326,0.13820486073226346,0.5958083131091454,0.0016673743510098535,136,20
gly,GFPT1,Hypoxia,0.6446232344448461,0.10072982834176043,0.44719639872609374,0.8420500701635986,1.5585923920658828e-10,136,20
gly,GLCE,Inflamm,0.3738338315065257,0.1150602432346897,0.1483198987141155,0.599347764298936,0.0011580050520657353,136,20
gly,GLCE,Hypoxia,0.647922749664797,0.10177727069036727,0.44844296466689315,0.8474025346627009,1.9391407947040856e-10,136,20
gly,GMPPA,Inflamm,0.37995354557587147,0.11623615520811212,0.1521348676665639,0.607772223485179,0.001080019828185512,136,20
gly,GMPPA,Hypoxia,0.6563887431868283,0.10069704533464566,0.4590261609813257,0.8537513253923308,7.103719442571013e-11,136,20
gly,GMPPB,Inflamm,0.38035850911352986,0.11502272272783254,0.15491811516324136,0.6057989030638183,0.0009436423099218301,136,20
gly,GMPPB,Hypoxia,0.6538838700368023,0.1016739955835672,0.45460650052872603,0.8531612395448784,1.2661626553684733e-10,136,20
gly,GNE,Inflamm,0.364769223641636,0.11559933783454489,0.13819868484924958,0.5913397624340224,0.0016024458609043928,136,20
gly,GNE,Hypoxia,0.6398801777314919,0.10065984919791893,0.44259049861433775,0.837169856848646,2.05924712157579e-10,136,20
gly,GNPDA1,Inflamm,0.3764848299312411,0.11593570920297687,0.14925501537129754,0.6037146444911847,0.0011648149999333734,136,20
gly,GNPDA1,Hypoxia,0.6521051133406076,0.10104573868155232,0.45405910473351924,0.850151121947696,1.0925003389731448e-10,136,20
gly,GOT1,Inflamm,0.38817832161375443,0.11385026478339043,0.16503590300796034,0.6113207402195485,0.000650698318410481,136,20
