model,outcome,compartment,n_obs,n_patients,method,beta,se,ci_low,ci_high,p,converged
overall_mixed,Inflamm,all,136,20,powell,0.31910559528600874,0.09580442262467903,0.13133237738198353,0.5068788131900339,0.0008659606716354808,True
within_compartment_mixed,Inflamm,blood,80,20,powell,0.2358974359093205,0.17051171033394316,-0.09829937528753424,0.5700942471061752,0.16652151866103126,True
within_compartment_mixed,Inflamm,hematoma,56,19,powell,0.42928980513517595,0.12038673384321151,0.19333614258607215,0.6652434676842798,0.00036257803182219257,True
overall_ols_cluster_robust,Inflamm,all,136,20,OLS clustered by patient,0.37188409087842816,0.09592260604693542,0.18387923772321074,0.5598889440336456,0.00010578793302151082,True
overall_mixed,Hypoxia,all,136,20,lbfgs,0.8308550559516513,0.07208450234324894,0.6895720275153903,0.9721380843879124,9.743004398575163e-31,True
within_compartment_mixed,Hypoxia,blood,80,20,powell,0.28007769403727434,0.1285555631951757,0.02811342016246704,0.5320419679120816,0.029357611530173907,True
within_compartment_mixed,Hypoxia,hematoma,56,19,powell,1.022240496621417,0.08002387509866203,0.8653965835247077,1.1790844097181261,2.285027833754035e-37,True
overall_ols_cluster_robust,Hypoxia,all,136,20,OLS clustered by patient,0.8247721174827487,0.06064094205013148,0.7059180550759105,0.9436261798895869,3.954709632101799e-42,True
